OPERS Inventory Report created at 30-MAR-2026 00:00:59
Excluding zone: MSH
 
,"Code","Material","Pile","Month Begin","Transfers","Receipts","Buckets","Issues","Adjustments","Depletions","Operating Inventory","Last Zero Date"
,"10011663","435 HOME SCRAP","260 ","203,081","37,600","0","-46,150","0","129,198","0","323,729","9/18/2025"
,"10011663","435 HOME SCRAP","261 ","0","28,850","0","0","0","83,801","0","112,651","3/6/2026"
,"10011663","435 HOME SCRAP","265 ","0","0","0","0","0","1","0","1","3/6/2026"
,"10011663","435 HOME SCRAP","26C ","78,779","-44,050","0","0","0","-21,850","0","12,879","6/23/2023"
,"10011663","435 HOME SCRAP","26U ","4,130","-22,400","22,020","0","0","0","0","3,750","2/10/2026"
,"10011667","439 RECLAIM","362 ","172,520","0","405,220","-326,950","0","0","0","250,790","2/24/2026"
,"10011668","439 TUNDISH","370 ","500,260","-298,200","0","-265,800","0","0","63,740","0","3/27/2026"
,"10011668","439 TUNDISH","371 ","0","298,200","169,100","-49,550","0","0","0","417,750","3/20/2026"
,"10011669","439 HOME SCRAP","384 ","635,731","387,950","39,320","-306,250","0","0","0","756,751","12/10/2025"
,"10011669","439 HOME SCRAP","38C ","467,109","-222,800","76,180","0","0","0","0","320,489","8/17/2021"
,"10011669","439 HOME SCRAP","38M ","0","0","182,500","0","0","0","-182,500","0","3/26/2026"
,"10011669","439 HOME SCRAP","38U ","49,730","-165,150","225,160","0","0","0","0","109,740","11/11/2025"
,"10012170","55% CHRG CR LUMP EAF","441 ","3,118,290","0","10,220,000","-11,138,170","0","0","0","2,200,120","2/16/2026"
,"10012170","55% CHRG CR LUMP EAF","447 ","1,759,730","0","4,374,180","-4,478,790","0","0","0","1,655,120","2/3/2026"
,"10012284","EAF 75% FESI LUMP","525 ","477,660","0","575,900","-643,020","0","0","0","410,540","1/16/2024"
,"10012360","MOLYBDENUM OXIDE","923 ","98,002","0","0","-143,100","0","118,101","0","73,003","12/22/2025"
,"10012420","CHARGE COKE","291 ","98,556","0","0","-8,380","0","0","0","90,176","12/8/2017"
,"10012420","CHARGE COKE","29B ","74,250","0","0","0","0","0","0","74,250","6/27/2017"
,"10012998","MIXED ALLOYS","931 ","232,595","0","0","0","0","0","0","232,595","5/25/2016"
,"10031006","HI CALCIUM LIME EAF","984 ","236,150","0","4,040,800","-4,262,350","0","72,500","0","87,100","11/14/2015"
,"10031008","DOLOMITIC LIME","864 ","137,324","0","232,100","-1,718,000","0","0","0","-1,348,576","11/14/2015"
